month,state,permit,handgun,long_gun,other,multiple,totals
2017-08-01,Nebraska,3180.0,109.0,1667.0,16.0,7,5209
2017-08-01,Nevada,1788.0,4052.0,2251.0,229.0,241,9035
2017-08-01,New Hampshire,2065.0,4164.0,2885.0,121.0,3,9313
2017-08-01,New Jersey,0.0,4238.0,3038.0,167.0,0,7443
2017-08-01,New Mexico,1183.0,5000.0,3734.0,396.0,331,11690
2017-08-01,New York,2952.0,9159.0,13239.0,891.0,158,28779
2017-08-01,North Carolina,23051.0,1194.0,11949.0,649.0,196,41122
2017-08-01,North Dakota,444.0,1500.0,2567.0,92.0,65,4874
2017-08-01,Ohio,10264.0,21432.0,14447.0,1242.0,1034,51103
2017-08-01,Oklahoma,0.0,9732.0,8978.0,819.0,948,24061
2017-08-01,Oregon,3993.0,11780.0,8979.0,0.0,3,24904
2017-08-01,Pennsylvania,24329.0,40628.0,13170.0,78.0,0,79020
2017-08-01,Rhode Island,0.0,883.0,596.0,68.0,154,1718
2017-08-01,South Carolina,12255.0,8268.0,6421.0,412.0,361,31663
2017-08-01,South Dakota,737.0,2082.0,3233.0,180.0,111,6686
2017-08-01,Tennessee,14548.0,19965.0,14204.0,1191.0,0,49945
2017-08-01,Texas,22971.0,37277.0,34884.0,2093.0,2474,110946
2017-08-01,Utah,15013.0,2790.0,3154.0,190.0,0,22010
2017-08-01,Vermont,0.0,1232.0,1254.0,94.0,89,2676
2017-08-01,Virginia,2220.0,20797.0,14926.0,1161.0,0,39114
2017-08-01,Washington,12068.0,13788.0,9776.0,1529.0,623,42120
2017-08-01,West Virginia,2028.0,4946.0,4651.0,241.0,341,14770
2017-08-01,Wisconsin,12647.0,12749.0,14317.0,642.0,42,40924
2017-08-01,Wyoming,408.0,1411.0,1762.0,62.0,86,4111
2017-07-01,Alabama,18042.0,6046.0,4790.0,224.0,258,31474
2017-07-01,Alaska,222.0,2911.0,2458.0,238.0,180,6487
2017-07-01,Arizona,5606.0,10194.0,6363.0,999.0,544,25714
2017-07-01,Arkansas,2564.0,4343.0,3804.0,189.0,254,14015
2017-07-01,California,52610.0,37027.0,21721.0,2514.0,0,114595
2017-07-01,Colorado,4392.0,16063.0,11065.0,1004.0,1020,33811
2017-07-01,Connecticut,6387.0,5450.0,1771.0,280.0,0,14525
2017-07-01,Delaware,305.0,1417.0,1000.0,71.0,60,2981
2017-07-01,Florida,16978.0,47430.0,18941.0,2975.0,1844,92822
2017-07-01,Georgia,14623.0,10685.0,6166.0,365.0,400,35085
2017-07-01,Hawaii,1107.0,0.0,0.0,0.0,0,1109
2017-07-01,Idaho,4539.0,2887.0,3276.0,191.0,149,11871
2017-07-01,Illinois,13652.0,18417.0,9895.0,0.0,765,108000
2017-07-01,Indiana,19386.0,15385.0,9995.0,950.0,584,47145
